2023-11-17 15:27:23 INFO     Saving logs in: /home/ukjung18/GIE1/GIE/GIE-master/LOG_DIR/11_17/GO1117/GIE_rot_15_27_23
2023-11-17 16:44:11 INFO     	 Epoch 82 | average valid loss: 0.0733
2023-11-17 16:45:04 INFO     	 Epoch 83 | average train loss: 0.0037
2023-11-17 16:45:05 INFO     	 Epoch 83 | average valid loss: 0.0736
2023-11-17 16:45:58 INFO     	 Epoch 84 | average train loss: 0.0037
2023-11-17 16:45:59 INFO     	 Epoch 84 | average valid loss: 0.0740
2023-11-17 16:46:01 INFO     	 valid MR: 1861.29 | MRR: 0.375 | H@1: 0.275 | H@10: 0.572 | H@50: 0.705 | H@100: 0.745
2023-11-17 16:46:01 INFO     	 Saving model at epoch 84 in /home/ukjung18/GIE1/GIE/GIE-master/LOG_DIR/11_17/GO1117/GIE_rot_15_27_23
2023-11-17 16:46:55 INFO     	 Epoch 85 | average train loss: 0.0037
2023-11-17 16:46:56 INFO     	 Epoch 85 | average valid loss: 0.0741
2023-11-17 16:47:48 INFO     	 Epoch 86 | average train loss: 0.0036
2023-11-17 16:47:49 INFO     	 Epoch 86 | average valid loss: 0.0744
2023-11-17 16:48:42 INFO     	 Epoch 87 | average train loss: 0.0035
2023-11-17 16:48:43 INFO     	 Epoch 87 | average valid loss: 0.0748
2023-11-17 16:49:37 INFO     	 Epoch 88 | average train loss: 0.0035
2023-11-17 16:49:37 INFO     	 Epoch 88 | average valid loss: 0.0752
2023-11-17 16:50:30 INFO     	 Epoch 89 | average train loss: 0.0034
2023-11-17 16:50:31 INFO     	 Epoch 89 | average valid loss: 0.0751
2023-11-17 16:50:33 INFO     	 valid MR: 1867.80 | MRR: 0.376 | H@1: 0.278 | H@10: 0.572 | H@50: 0.706 | H@100: 0.746
2023-11-17 16:50:33 INFO     	 Saving model at epoch 89 in /home/ukjung18/GIE1/GIE/GIE-master/LOG_DIR/11_17/GO1117/GIE_rot_15_27_23
2023-11-17 16:51:27 INFO     	 Epoch 90 | average train loss: 0.0034
2023-11-17 16:51:28 INFO     	 Epoch 90 | average valid loss: 0.0756
2023-11-17 16:52:20 INFO     	 Epoch 91 | average train loss: 0.0033
2023-11-17 16:52:21 INFO     	 Epoch 91 | average valid loss: 0.0760
2023-11-17 16:53:15 INFO     	 Epoch 92 | average train loss: 0.0033
2023-11-17 16:53:15 INFO     	 Epoch 92 | average valid loss: 0.0765
2023-11-17 16:54:08 INFO     	 Epoch 93 | average train loss: 0.0032
2023-11-17 16:54:09 INFO     	 Epoch 93 | average valid loss: 0.0765
2023-11-17 16:55:02 INFO     	 Epoch 94 | average train loss: 0.0032
2023-11-17 16:55:03 INFO     	 Epoch 94 | average valid loss: 0.0766
2023-11-17 16:55:05 INFO     	 valid MR: 1878.00 | MRR: 0.378 | H@1: 0.282 | H@10: 0.575 | H@50: 0.707 | H@100: 0.743
2023-11-17 16:55:05 INFO     	 Saving model at epoch 94 in /home/ukjung18/GIE1/GIE/GIE-master/LOG_DIR/11_17/GO1117/GIE_rot_15_27_23
2023-11-17 16:55:59 INFO     	 Epoch 95 | average train loss: 0.0031
2023-11-17 16:56:00 INFO     	 Epoch 95 | average valid loss: 0.0772
2023-11-17 16:56:54 INFO     	 Epoch 96 | average train loss: 0.0031
2023-11-17 16:56:54 INFO     	 Epoch 96 | average valid loss: 0.0774
2023-11-17 16:57:48 INFO     	 Epoch 97 | average train loss: 0.0030
2023-11-17 16:57:49 INFO     	 Epoch 97 | average valid loss: 0.0778
2023-11-17 16:58:42 INFO     	 Epoch 98 | average train loss: 0.0030
2023-11-17 16:58:42 INFO     	 Epoch 98 | average valid loss: 0.0783
2023-11-17 16:59:36 INFO     	 Epoch 99 | average train loss: 0.0030
2023-11-17 16:59:36 INFO     	 Epoch 99 | average valid loss: 0.0787
2023-11-17 16:59:39 INFO     	 valid MR: 1888.94 | MRR: 0.377 | H@1: 0.280 | H@10: 0.571 | H@50: 0.708 | H@100: 0.745
2023-11-17 17:00:32 INFO     	 Epoch 100 | average train loss: 0.0029
2023-11-17 17:00:33 INFO     	 Epoch 100 | average valid loss: 0.0787
2023-11-17 17:01:26 INFO     	 Epoch 101 | average train loss: 0.0029
2023-11-17 17:01:27 INFO     	 Epoch 101 | average valid loss: 0.0791
2023-11-17 17:02:21 INFO     	 Epoch 102 | average train loss: 0.0028
2023-11-17 17:02:21 INFO     	 Epoch 102 | average valid loss: 0.0797
2023-11-17 17:03:15 INFO     	 Epoch 103 | average train loss: 0.0028
2023-11-17 17:03:16 INFO     	 Epoch 103 | average valid loss: 0.0801
2023-11-17 17:04:09 INFO     	 Epoch 104 | average train loss: 0.0028
2023-11-17 17:04:10 INFO     	 Epoch 104 | average valid loss: 0.0802
2023-11-17 17:04:12 INFO     	 valid MR: 1895.45 | MRR: 0.375 | H@1: 0.277 | H@10: 0.570 | H@50: 0.707 | H@100: 0.744
2023-11-17 17:05:06 INFO     	 Epoch 105 | average train loss: 0.0027
2023-11-17 17:05:06 INFO     	 Epoch 105 | average valid loss: 0.0803
2023-11-17 17:05:59 INFO     	 Epoch 106 | average train loss: 0.0027
2023-11-17 17:06:00 INFO     	 Epoch 106 | average valid loss: 0.0810
2023-11-17 17:06:53 INFO     	 Epoch 107 | average train loss: 0.0027
2023-11-17 17:06:54 INFO     	 Epoch 107 | average valid loss: 0.0809
2023-11-17 17:07:47 INFO     	 Epoch 108 | average train loss: 0.0027
2023-11-17 17:07:48 INFO     	 Epoch 108 | average valid loss: 0.0811
2023-11-17 17:08:41 INFO     	 Epoch 109 | average train loss: 0.0026
2023-11-17 17:08:42 INFO     	 Epoch 109 | average valid loss: 0.0813
2023-11-17 17:08:44 INFO     	 valid MR: 1906.14 | MRR: 0.377 | H@1: 0.279 | H@10: 0.573 | H@50: 0.704 | H@100: 0.743
2023-11-17 17:09:38 INFO     	 Epoch 110 | average train loss: 0.0026
2023-11-17 17:09:39 INFO     	 Epoch 110 | average valid loss: 0.0816
2023-11-17 17:10:32 INFO     	 Epoch 111 | average train loss: 0.0026
2023-11-17 17:10:33 INFO     	 Epoch 111 | average valid loss: 0.0820
2023-11-17 17:11:25 INFO     	 Epoch 112 | average train loss: 0.0025
2023-11-17 17:11:26 INFO     	 Epoch 112 | average valid loss: 0.0822
2023-11-17 17:12:19 INFO     	 Epoch 113 | average train loss: 0.0025
