term	level	class
GO:0000815	3	cellular_component
GO:0000817	3	cellular_component
GO:0000819	5	biological_process
GO:0000820	6	biological_process
GO:0000821	7	biological_process
GO:0000822	4	molecular_function
GO:0000823	6	molecular_function
GO:0000824	6	molecular_function
GO:0000825	6	molecular_function
GO:0000827	5	molecular_function
GO:0000828	5	molecular_function
GO:0000829	5	molecular_function
GO:0000830	6	molecular_function
GO:0000831	6	molecular_function
GO:0000832	6	molecular_function
GO:0000833	6	molecular_function
GO:0000834	6	molecular_function
GO:0000835	3	cellular_component
GO:0000836	4	cellular_component
GO:0000837	4	cellular_component
GO:0000838	5	cellular_component
GO:0000839	5	cellular_component
GO:0000900	3	molecular_function
GO:0000901	3	molecular_function
GO:0000902	3	biological_process
GO:0000904	4	biological_process
GO:0000905	7	biological_process
GO:0000906	4	molecular_function
GO:0000907	5	molecular_function
GO:0000908	5	molecular_function
GO:0000909	7	biological_process
GO:0000910	3	biological_process
GO:0000911	4	biological_process
GO:0000912	4	biological_process
GO:0000913	3	biological_process
GO:0000914	6	biological_process
GO:0000915	4	biological_process
GO:0000916	5	biological_process
GO:0000917	5	biological_process
GO:0000918	4	biological_process
GO:0000919	3	biological_process
GO:0000920	2	biological_process
GO:0000921	6	biological_process
GO:0000922	2	cellular_component
GO:0000923	3	cellular_component
GO:0000930	2	cellular_component
GO:0000931	3	cellular_component
GO:0000932	5	cellular_component
GO:0000933	3	cellular_component
GO:0000934	3	cellular_component
GO:0000935	3	cellular_component
GO:0000936	4	cellular_component
GO:0000937	4	cellular_component
GO:0000938	3	cellular_component
GO:0000939	2	cellular_component
GO:0000940	2	cellular_component
GO:0000943	2	cellular_component
GO:0000947	5	biological_process
GO:0000948	6	biological_process
GO:0000949	6	biological_process
GO:0000950	6	biological_process
GO:0000951	5	biological_process
GO:0000952	6	biological_process
GO:0000953	6	biological_process
GO:0000954	5	biological_process
GO:0000955	5	biological_process
GO:0000956	7	biological_process
GO:0000957	6	biological_process
GO:0000958	7	biological_process
GO:0000959	6	biological_process
GO:0000960	6	biological_process
GO:0000961	7	biological_process
GO:0000962	7	biological_process
GO:0000963	6	biological_process
GO:0000964	7	biological_process
GO:0000965	7	biological_process
GO:0000966	7	biological_process
GO:0000967	9	biological_process
GO:0000968	7	biological_process
GO:0000969	8	biological_process
